ANNEE;EDITION RENCONTRES TRANS MUSICALES ;ARTISTES;NOM SPECTACLE OU SOIREE;1ER PROJET ATM;1ERE DATE;1ERE SALLE;1ERE VILLE;2EME PROJET;2EME DATE;2EME SALLE;2EME VILLE;3EME PROJET;3EME DATE;3EME SALLE;3EME VILLE;4EME PROJET;4EME DATE;4EME SALLE;4EME VILLE;5EME PROJET;5EME DATE;5EME SALLE;5EME VILLE;ORIGINES PAYS 1;ORIGINES PAYS 2;ORIGINES PAYS 3;ORIGINES PAYS 4;ORIGINES VILLE 1;ORIGINES VILLE 2;ORIGINES VILLE 3;ORIGINES VILLE 4;ANNEE  DE FORMATION;1ère SORTIE DISCOGRAPHIQUE;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Julien TinÈ;;;06/12/2012;Parc des Expositions - Hall 3;Bruz;;;;;;;;;;;;;;;;;France;;;;;;;;2007;;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Jupiter;;;07/12/2012;Parc des Expositions - Hall 4;Bruz;;07/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;France;;;;;;;;2008;2008;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Kölsch;;;08/12/2012;Parc des Expositions - Green Room;Bruz;;;;;;;;;;;;;;;;;Danemark;;;;;;;;1995;2010;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Kosmo Pilot;;;07/12/2012;Parc des Expositions - Hall 9;Bruz;;08/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;France;;;;Saint-Malo;;;;2009;;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Kwes;;;08/12/2012;La CitÈ;Rennes;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2005;2009;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;La Gale;;;08/12/2012;Parc des Expositions - Hall 4;Bruz;;;;;;;;;;;;;;;;;Suisse;;;;;;;;2006;2012;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Lianne La Havas;;;07/12/2012;La CitÈ;Rennes;;;;;;;;;;;;;;;;;Royaume-Uni;;;;Londres;;;;2010;2011;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Licornia;;CrÈation;05/12/2012;Aire Libre;Saint-Jacques-de-la-Lande;CrÈation;06/12/2012;Aire Libre;Saint-Jacques-de-la-Lande;CrÈation;07/12/2012;Aire Libre;Saint-Jacques-de-la-Lande;CrÈation;08/12/2012;Aire Libre;Saint-Jacques-de-la-Lande;;;;;France;;;;Bordeaux;;;;2007;;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Lispector;High On Democracy;;05/12/2012;Aire Libre;Saint-Jacques-de-la-Lande;;;;;;;;;;;;;;;;;France;;;;;;;;1996;1996;;;;;;
2012;34èmes Rencontres Trans Musicales de Rennes;Little Trouble Kids;;Focus EuropÈen;07/12/2012;Le 4 Bis;Rennes;;;;;;;;;;;;;;;;;Belgique;;;;Gand;;;;2010;2012;;;;;;
